Generacion,Max_Score,Avg_Score
1,2398,683.27
2,2841,731.19
3,2888,975.05
4,2858,913.85
5,3141,560.41
6,3177,1329.52
7,3446,811.07
8,2913,1037.5
9,3442,965.02
10,4515,1641.22
11,3789,1106.35
12,3472,1145.45
13,3788,567.38
14,3804,1738.45
15,4573,1962.28
16,4549,1647.18
17,4572,1149.16
18,5686,2359.99
19,4696,541.37
20,4145,755.58
21,4118,1280.56
22,5021,2093.39
23,5129,1241.4
24,5653,961.35
25,6362,1707.9
26,6459,2417.8
27,7118,2266.36
28,7139,939.69
29,7145,2262.31
30,7334,2561.58
31,8152,2220.48
32,5623,407.66
33,6354,1279.07
34,8278,1947.7
35,7678,1997.28
36,7615,2433.04
37,8170,2218.32
38,6575,936.84
39,7137,1688.96
40,7110,1790.58
41,8564,3596.54
42,8429,1376.85
43,8803,2342.88
44,8523,2965.27
45,8664,3169.61
46,8505,2910.7
47,8929,2922.94
48,9327,2890.14
49,8919,3157.73
50,8756,2591.11
51,8932,2959.2
52,8379,968.05
53,8957,3130.01
54,9227,2685.01
55,8891,3657.83
56,9408,2700.78
57,9416,3303.93
58,9383,3298.66
59,8749,962.84
60,8928,2686.23
61,9328,3523.81
62,9177,2882.66
63,9226,3037.23
64,9290,3373.01
65,9340,3710.08
66,9468,3038.87
67,9134,1840.74
68,9404,3205.16
69,9407,4164.79
70,9355,4093.15
71,9407,3352.33
72,9351,3248.33
73,9404,3498.97
74,9516,3071.13
75,9468,3775.62
76,9471,3684.54
77,9415,3166.55
78,9330,3205.47
79,9325,3407.28
80,9603,3887.66
81,9457,3261.03
82,9668,3155.5
83,9483,4316.22
84,9401,3413.61
85,9323,1282.1
86,9388,3372.28
87,9679,3148.81
88,9334,3348.13
89,9343,4073.06
90,9489,4110.54
91,10928,3956.89
92,9535,1648.5
93,9412,4591.29
94,10002,4159.45
95,9427,1477.57
96,9548,3934.38
97,9597,2717.2
98,9501,4848.73
99,9715,4391.3
100,9602,4342.0
101,10399,4274.44
102,9794,4881.13
103,9359,2265.59
104,9426,4313.1
105,9952,2830.17
106,9422,4040.18
107,9462,4644.89
108,10022,4752.29
109,10079,3865.63
110,9570,4318.68
111,9570,4945.66
112,11001,4807.51
113,10060,4690.11
114,9435,4795.13
115,9401,4324.17
116,9491,4375.97
117,9407,4471.25
118,10972,4457.52
119,9623,4992.01
120,10921,5192.36
121,11158,4831.43
122,11001,4201.77
123,10961,4553.67
124,11113,2237.69
125,11122,4607.19
126,11457,4626.93
127,11380,2024.99
128,11195,3897.02
129,12552,4205.59
130,12276,2942.32
131,12275,4650.48
132,12642,3933.59
133,12271,4915.89
134,13134,5171.49
135,13132,4671.63
136,13118,5065.78
137,13111,3452.72
138,13189,4044.0
139,13129,4619.54
140,13125,4688.19
141,13109,6204.68
142,13124,4560.57
143,13117,5990.2
144,13112,4669.04
145,13140,5255.91
146,13245,6399.6
147,13146,5161.04
148,13119,5990.59
149,13110,5973.08
150,13148,5695.73
151,13113,5872.72
152,13161,3651.3
153,13131,5737.34
154,13131,6571.39
155,13121,5832.88
156,13132,6667.64
157,13109,6256.59
158,13177,6512.67
159,13237,5954.62
160,13138,7136.85
161,13162,3569.02
162,13137,6303.54
163,13107,5603.5
164,13106,5607.19
165,13116,6571.48
166,13202,6579.58
167,13122,6096.27
